ID,Response,Video,Model_Response
8469868.0,0.99,clap,0.15
8469868.0,0.86,bomb,0.05
8469868.0,0.91,ball,0.90
8469868.0,0.56,sleep,0.95
8469868.0,0.74,plan,0.80
8469868.0,0.2,please,0.30
8469868.0,0.66,see,0.70
8469868.0,0.97,hospital,0.85
8469868.0,0.24,good,0.00
8469868.0,0.91,machine,0.90
8469868.0,0.29,point,0.70
8469868.0,0.01,ready,0.05
8469834.0,0.97,smoke,0.10
8469834.0,0.21,clap,0.15
8469834.0,0.2,machine,0.90
8469834.0,0.72,point,0.70
8469834.0,0.03,risk,0.20
8469834.0,0.14,see,0.70
8469834.0,0.9400000000000001,hospital,0.85
8469834.0,0.27,sleep,0.95
8469834.0,0.54,plan,0.80
8469834.0,0.44,meet,0.10
8469834.0,0.2,beg,0.30
8469834.0,0.98,bomb,0.05
8469834.0,0.15,please,0.30
8469834.0,0.1,good,0.00
8469834.0,0.8300000000000001,sunglasses,0.85
8469834.0,0.9500000000000001,gentlemen,0.10
8469834.0,0.01,ready,0.05
8469834.0,0.68,planning,0.60
8469834.0,0.97,ball,0.90
8469834.0,0.36,convinced,0.40
8469834.0,0.05,couple,0.80
8469865.0,0.9400000000000001,risk,0.20
8469865.0,0.08,beg,0.30
8469865.0,0.98,clap,0.15
8469865.0,0.77,machine,0.90
8469865.0,0.22,good,0.00
8469865.0,0.93,hospital,0.85
8469865.0,0.84,meet,0.10
8469865.0,0.05,couple,0.80
8469865.0,0.55,point,0.70
8469865.0,0.97,ball,0.90
8469865.0,0.97,bomb,0.05
8469865.0,0.39,sunglasses,0.85
8469865.0,0.73,smoke,0.10
8469865.0,0.06,sleep,0.95
8469865.0,0.8200000000000001,gentlemen,0.10
8469865.0,0.02,please,0.30
8469865.0,0.01,ready,0.05
8469865.0,0.68,plan,0.80
8469865.0,0.11,planning,0.60
8469865.0,0.9500000000000001,see,0.70
8469865.0,0.76,convinced,0.40
8469906.0,0.56,sunglasses,0.85
8469906.0,0.92,machine,0.90
8469906.0,0.91,ball,0.90
8469906.0,0.08,ready,0.05
8469906.0,0.06,beg,0.30
8469906.0,0.64,sleep,0.95
8469906.0,0.2,please,0.30
8469906.0,0.0,good,0.00
8469906.0,0.67,gentlemen,0.10
8469906.0,0.08,convinced,0.40
8469906.0,0.2,planning,0.60
8469906.0,0.9,hospital,0.85
8469906.0,0.04,plan,0.80
8469906.0,0.85,smoke,0.10
8469906.0,0.21,see,0.70
8469906.0,0.18,couple,0.80
8469906.0,0.84,point,0.70
8469906.0,0.43,meet,0.10
8469906.0,0.58,risk,0.20
8469906.0,0.9500000000000001,bomb,0.05
8469906.0,1.0,clap,0.15
8469926.0,1.0,smoke,0.10
8469926.0,0.67,gentlemen,0.10
8469926.0,0.92,meet,0.10
8469926.0,1.0,hospital,0.85
8469926.0,0.62,see,0.70
8469926.0,0.17,couple,0.80
8469926.0,0.0,ready,0.05
8469926.0,0.37,beg,0.30
8469926.0,0.75,planning,0.60
8469926.0,0.93,risk,0.20
8469926.0,0.48,sleep,0.95
8469926.0,0.14,convinced,0.40
8469926.0,0.9500000000000001,plan,0.80
8469926.0,0.99,point,0.70
8469926.0,1.0,clap,0.15
8469926.0,1.0,machine,0.90
8469926.0,0.99,bomb,0.05
8469926.0,0.0,please,0.30
8469926.0,0.8300000000000001,good,0.00
8469926.0,0.9500000000000001,sunglasses,0.85
8469926.0,1.0,ball,0.90
8469982.0,0.92,meet,0.10
8469982.0,0.99,clap,0.15
8469982.0,0.96,planning,0.60
8469982.0,0.81,beg,0.30
8469982.0,0.06,ready,0.05
8469982.0,0.88,plan,0.80
8469982.0,0.97,smoke,0.10
8469982.0,0.98,risk,0.20
8469982.0,0.6,couple,0.80
8469982.0,0.97,gentlemen,0.10
8469982.0,1.0,ball,0.90
8469982.0,0.08,good,0.00
8469982.0,0.8200000000000001,sunglasses,0.85
8469982.0,0.6900000000000001,convinced,0.40
8469982.0,0.96,bomb,0.05
8469982.0,0.99,hospital,0.85
8469982.0,0.71,sleep,0.95
8469982.0,0.98,machine,0.90
8469982.0,0.97,see,0.70
8469982.0,0.9,point,0.70
8469982.0,0.77,please,0.30
8470207.0,1.0,ball,0.90
8470207.0,0.43,meet,0.10
8470207.0,0.61,point,0.70
8470207.0,0.53,sunglasses,0.85
8470207.0,0.41000000000000003,planning,0.60
8470207.0,0.0,ready,0.05
8470207.0,0.0,risk,0.20
8470207.0,0.58,please,0.30
8470207.0,0.01,bomb,0.05
8470207.0,0.04,plan,0.80
8470207.0,0.99,gentlemen,0.10
8470207.0,0.0,good,0.00
8470207.0,0.99,clap,0.15
8470207.0,0.75,machine,0.90
8470207.0,0.93,sleep,0.95
8470207.0,0.98,hospital,0.85
8470207.0,0.06,couple,0.80
8470207.0,0.73,smoke,0.10
8470207.0,0.43,beg,0.30
8470207.0,0.19,see,0.70
8470207.0,0.0,convinced,0.40
8467551.0,1.0,hear,0.90
8467551.0,0.48,hate,0.05
8467551.0,0.38,hit,0.15
8467551.0,0.61,lying,0.85
8467551.0,0.31,steal,0.10
8467551.0,0.61,tell,0.7
8467551.0,0.98,cripple,0.05
8467551.0,0.99,workhouse,0.70
8467551.0,0.03,assistant,0.30
8467551.0,0.39,dead,0.90
8467551.0,0.79,pool,
8467551.0,0.01,hand,0.70
8467551.0,0.5700000000000001,stare,0.90
8467551.0,0.01,clap,0.15
8467551.0,0.61,drink,0.20
8467551.0,0.85,gun,0.20
8467551.0,0.6,van,0.8
8467551.0,0.45,sell,0.85
8467551.0,0.01,indicted,0.80
8467551.0,0.04,fool,0.10
8467551.0,0.02,hall,0.10
8469473.0,0.22,hit,0.15
8469473.0,0.58,clap,0.15
8469473.0,0.21,hall,0.10
8469473.0,0.73,van,0.8
8469473.0,0.26,indicted,0.80
8469473.0,0.53,sell,0.85
8469473.0,0.11,steal,0.10
8469473.0,0.07,lying,0.85
8469473.0,0.62,drink,0.20
8469473.0,0.18,dead,0.90
8469473.0,0.62,tell,0.7
8469473.0,0.15,assistant,0.30
8469473.0,0.7000000000000001,hear,0.90
8469473.0,0.12,hate,0.05
8469473.0,0.19,hand,0.70
8469473.0,0.92,pool,
8469473.0,0.09,fool,0.10
8469473.0,0.67,stare,0.90
8469473.0,0.71,workhouse,0.70
8469473.0,1.0,cripple,0.05
8469473.0,0.9500000000000001,gun,0.20
8469474.0,1.0,cripple,0.05
8469474.0,0.6900000000000001,sell,0.85
8469474.0,0.62,indicted,0.80
8469474.0,0.18,fool,0.10
8469474.0,0.02,dead,0.90
8469474.0,0.02,hall,0.10
8469474.0,0.86,gun,0.20
8469474.0,0.72,lying,0.85
8469474.0,0.86,van,0.8
8469474.0,0.0,clap,0.15
8469474.0,0.06,tell,0.7
8469474.0,0.5700000000000001,drink,0.20
8469474.0,0.0,steal,0.10
8469474.0,0.0,hand,0.70
8469474.0,0.0,hear,0.90
8469474.0,1.0,pool,
8469474.0,0.0,assistant,0.30
8469474.0,0.71,workhouse,0.70
8469474.0,0.22,hate,0.05
8469474.0,0.29,hit,0.15
8469474.0,0.71,stare,0.90
8469828.0,0.02,steal,0.10
8469828.0,1.0,pool,
8469828.0,0.64,sell,0.85
8469828.0,0.2,hand,0.70
8469828.0,0.12,hit,0.15
8469828.0,0.9,lying,0.85
8469828.0,0.98,van,0.8
8469828.0,0.05,clap,0.15
8469828.0,0.9400000000000001,drink,0.20
8469828.0,0.7000000000000001,tell,0.7
8469828.0,0.97,workhouse,0.70
8469828.0,0.8,hall,0.10
8469828.0,0.98,gun,0.20
8469828.0,0.05,hate,0.05
8469828.0,0.9,stare,0.90
8469828.0,0.55,indicted,0.80
8469828.0,0.02,dead,0.90
8469828.0,0.63,assistant,0.30
8469828.0,0.9,hear,0.90
8469828.0,0.85,cripple,0.05
8469828.0,0.23,fool,0.10
8469850.0,0.93,tell,0.7
8469850.0,0.81,van,0.8
8469850.0,0.78,dead,0.90
8469850.0,0.0,hand,0.70
8469850.0,0.6,drink,0.20
8469850.0,0.0,fool,0.10
8469850.0,0.77,lying,0.85
8469850.0,0.87,sell,0.85
8469850.0,0.99,gun,0.20
8469850.0,0.0,hall,0.10
8469850.0,0.64,pool,
8469850.0,0.67,hate,0.05
8469850.0,1.0,cripple,0.05
8469850.0,0.78,workhouse,0.70
8469850.0,0.0,assistant,0.30
8469850.0,0.01,hit,0.15
8469850.0,0.21,stare,0.90
8469850.0,0.01,clap,0.15
8469850.0,0.01,steal,0.10
8469850.0,0.86,hear,0.90
8469850.0,0.6900000000000001,indicted,0.80
8469837.0,0.5700000000000001,stare,0.90
8469837.0,0.8,hear,0.90
8469837.0,0.97,gun,0.20
8469837.0,0.5700000000000001,lying,0.85
8469837.0,0.31,assistant,0.30
8469837.0,0.84,pool,
8469837.0,0.63,sell,0.85
8469837.0,0.9,workhouse,0.70
8469837.0,0.0,hall,0.10
8469837.0,0.02,dead,0.90
8469837.0,0.0,clap,0.15
8469837.0,0.8,tell,0.7
8469837.0,0.03,fool,0.10
8469837.0,0.84,cripple,0.05
8469837.0,0.25,indicted,0.80
8469837.0,0.0,steal,0.10
8469837.0,0.2,hand,0.70
8469837.0,0.72,drink,0.20
8469837.0,0.88,van,0.8
8469837.0,0.26,hate,0.05
8469837.0,0.18,hit,0.15
8469840.0,0.0,hand,0.70
8469840.0,0.76,indicted,0.80
8469840.0,0.91,lying,0.85
8469840.0,0.87,stare,0.90
8469840.0,0.37,fool,0.10
8469840.0,0.65,sell,0.85
8469840.0,0.26,hit,0.15
8469840.0,0.09,assistant,0.30
8469840.0,0.13,steal,0.10
8469840.0,0.61,gun,0.20
8469840.0,0.29,hate,0.05
8469840.0,0.53,hear,0.90
8469840.0,0.84,tell,0.7
8469840.0,0.92,van,0.8
8469840.0,0.8300000000000001,workhouse,0.70
8469840.0,0.24,dead,0.90
8469840.0,0.0,clap,0.15
8469840.0,0.81,drink,0.20
8469840.0,0.59,cripple,0.05
8469840.0,0.15,hall,0.10
8469840.0,0.93,pool,
8469853.0,0.75,stare,0.90
8469853.0,0.28,steal,0.10
8469853.0,0.38,fool,0.10
8469853.0,0.61,clap,0.15
8469853.0,0.37,hall,0.10
8469853.0,0.8200000000000001,pool,
8469853.0,0.37,dead,0.90
8469853.0,0.56,hand,0.70
8469853.0,0.79,tell,0.7
8469853.0,0.39,indicted,0.80
8469853.0,0.63,hit,0.15
8469853.0,0.35000000000000003,assistant,0.30
8469853.0,0.66,hear,0.90
8469853.0,1.0,cripple,0.05
8469853.0,0.88,workhouse,0.70
8469853.0,1.0,van,0.8
8469853.0,0.75,drink,0.20
8469853.0,0.8200000000000001,gun,0.20
8469853.0,0.63,lying,0.85
8469853.0,0.42,sell,0.85
8469853.0,0.6,hate,0.05
8469861.0,0.22,hall,0.10
8469861.0,0.93,cripple,0.05
8469861.0,0.2,hate,0.05
8469861.0,0.11,dead,0.90
8469861.0,1.0,stare,0.90
8469861.0,0.07,hit,0.15
8469861.0,0.38,indicted,0.80
8469861.0,0.77,hear,0.90
8469861.0,0.73,drink,0.20
8469861.0,0.88,workhouse,0.70
8469861.0,0.53,clap,0.15
8469861.0,0.86,van,0.8
8469861.0,0.13,steal,0.10
8469861.0,0.85,lying,0.85
8469861.0,0.84,tell,0.7
8469861.0,0.65,hand,0.70
8469861.0,0.8,pool,
8469861.0,0.9400000000000001,gun,0.20
8469861.0,0.62,assistant,0.30
8469861.0,0.28,sell,0.85
8469861.0,0.17,fool,0.10
8469859.0,0.66,drink,0.20
8469859.0,0.45,dead,0.90
8469859.0,0.9,tell,0.7
8469859.0,0.55,fool,0.10
8469859.0,0.98,gun,0.20
8469859.0,0.35000000000000003,steal,0.10
8469859.0,0.25,hall,0.10
8469859.0,0.22,assistant,0.30
8469859.0,0.75,indicted,0.80
8469859.0,0.58,sell,0.85
8469859.0,0.63,stare,0.90
8469859.0,0.33,hit,0.15
8469859.0,0.71,workhouse,0.70
8469859.0,0.5,clap,0.15
8469859.0,0.14,hand,0.70
8469859.0,0.8,hear,0.90
8469859.0,0.91,pool,
8469859.0,0.99,van,0.8
8469859.0,0.27,hate,0.05
8469859.0,0.9,cripple,0.05
8469859.0,1.0,lying,0.85
8469884.0,0.87,drink,0.20
8469884.0,0.96,van,0.8
8469884.0,0.07,dead,0.90
8469884.0,1.0,cripple,0.05
8469884.0,0.14,sell,0.85
8469884.0,0.88,stare,0.90
8469884.0,0.12,assistant,0.30
8469884.0,0.89,lying,0.85
8469884.0,0.91,hear,0.90
8469884.0,0.13,fool,0.10
8469884.0,0.88,pool,
8469884.0,0.17,hit,0.15
8469884.0,0.11,hate,0.05
8469884.0,0.05,clap,0.15
8469884.0,1.0,gun,0.20
8469884.0,0.0,hand,0.70
8469884.0,1.0,indicted,0.80
8469884.0,0.86,tell,0.7
8469884.0,0.08,steal,0.10
8469884.0,0.11,hall,0.10
8469884.0,1.0,workhouse,0.70
8469881.0,0.67,hit,0.15
8469881.0,0.19,hate,0.05
8469881.0,0.25,assistant,0.30
8469881.0,0.89,gun,0.20
8469881.0,0.68,pool,
8469881.0,0.76,hear,0.90
8469881.0,0.86,workhouse,0.70
8469881.0,0.22,steal,0.10
8469881.0,0.67,drink,0.20
8469881.0,0.17,fool,0.10
8469881.0,0.62,stare,0.90
8469881.0,0.21,hand,0.70
8469881.0,0.63,indicted,0.80
8469881.0,0.78,tell,0.7
8469881.0,0.34,dead,0.90
8469881.0,0.6,sell,0.85
8469881.0,0.21,clap,0.15
8469881.0,0.98,cripple,0.05
8469881.0,0.23,hall,0.10
8469881.0,0.6900000000000001,lying,0.85
8469881.0,0.97,van,0.8
8469898.0,0.91,pool,
8469898.0,0.8300000000000001,workhouse,0.70
8469898.0,0.28,sell,0.85
8469898.0,0.84,lying,0.85
8469898.0,0.77,tell,0.7
8469898.0,0.96,van,0.8
8469898.0,0.33,fool,0.10
8469898.0,0.34,hall,0.10
8469898.0,0.42,hate,0.05
8469898.0,0.9,drink,0.20
8469898.0,0.34,clap,0.15
8469898.0,0.29,assistant,0.30
8469898.0,0.6900000000000001,indicted,0.80
8469898.0,0.87,hit,0.15
8469898.0,0.98,cripple,0.05
8469898.0,0.21,steal,0.10
8469898.0,0.24,dead,0.90
8469898.0,0.89,stare,0.90
8469898.0,1.0,gun,0.20
8469898.0,0.85,hear,0.90
8469898.0,0.23,hand,0.70
8469901.0,0.96,pool,
8469901.0,0.65,sell,0.85
8469901.0,0.5700000000000001,hate,0.05
8469901.0,0.36,clap,0.15
8469901.0,0.98,gun,0.20
8469901.0,0.97,stare,0.90
8469901.0,0.61,assistant,0.30
8469901.0,0.99,cripple,0.05
8469901.0,0.59,hand,0.70
8469901.0,0.98,van,0.8
8469901.0,0.72,tell,0.7
8469901.0,0.44,dead,0.90
8469901.0,0.97,drink,0.20
8469901.0,0.13,hit,0.15
8469901.0,0.14,fool,0.10
8469901.0,0.1,hall,0.10
8469901.0,0.31,steal,0.10
8469901.0,0.8,hear,0.90
8469901.0,0.9,indicted,0.80
8469901.0,1.0,workhouse,0.70
8469901.0,0.91,lying,0.85
8469847.0,0.16,assistant,0.30
8469847.0,0.85,stare,0.90
8469847.0,0.8300000000000001,tell,0.7
8469847.0,0.33,fool,0.10
8469847.0,0.0,hand,0.70
8469847.0,0.0,steal,0.10
8469847.0,0.71,sell,0.85
8469847.0,0.5,indicted,0.80
8469847.0,0.23,hate,0.05
8469847.0,1.0,drink,0.20
8469847.0,1.0,pool,
8469847.0,0.97,workhouse,0.70
8469847.0,1.0,gun,0.20
8469847.0,1.0,hear,0.90
8469847.0,0.18,clap,0.15
8469847.0,0.71,hit,0.15
8469847.0,0.74,dead,0.90
8469847.0,0.0,hall,0.10
8469847.0,0.84,lying,0.85
8469847.0,0.93,cripple,0.05
8469847.0,1.0,van,0.8
8470139.0,0.9400000000000001,pool,
8470139.0,0.13,fool,0.10
8470139.0,0.92,tell,0.7
8470139.0,0.32,clap,0.15
8470139.0,0.42,indicted,0.80
8470139.0,0.87,steal,0.10
8470139.0,0.39,lying,0.85
8470139.0,0.9,workhouse,0.70
8470139.0,0.32,hate,0.05
8470139.0,0.6900000000000001,hear,0.90
8470139.0,0.66,assistant,0.30
8470139.0,0.8200000000000001,gun,0.20
8470139.0,0.58,hall,0.10
8470139.0,0.77,stare,0.90
8470139.0,0.9500000000000001,cripple,0.05
8470139.0,0.5700000000000001,dead,0.90
8470139.0,0.25,hand,0.70
8470139.0,0.54,hit,0.15
8470139.0,0.67,sell,0.85
8470139.0,0.6900000000000001,drink,0.20
8470139.0,0.75,van,0.8
8467543.0,0.16,run,0.10
8467543.0,0.18,shootout,0.60
8467543.0,0.86,bright,0.00
8467543.0,0.15,astonished,0.60
8467543.0,0.17,know,0.70
8467543.0,0.96,dead,0.90
8467543.0,0.87,steel,0.50
8467543.0,0.02,piece,0.15
8467543.0,0.61,honor,0.10
8467543.0,0.64,saw,0.05
8467543.0,0.75,cold,0.80
8467543.0,0.8,stare,0.90
8467543.0,0.9400000000000001,achievement,0.55
8467543.0,0.55,mean,0.65
8467543.0,0.85,threaten,0.9
8467543.0,0.64,illusions,0.85
8467543.0,0.59,get,0.70
8467543.0,0.16,seen,0.85
8467543.0,0.02,agent,0.15
8467543.0,0.03,pawns,0.05
8467543.0,0.6,confess,0.15
8467543.0,0.53,fresh,0.00
8467543.0,0.0,money,0.10
8467543.0,0.7000000000000001,leave,0.40
8467543.0,0.78,science,
8467543.0,0.54,look,0.60
8467543.0,0.54,jail,0.90
8467543.0,0.59,magic,0.70
8467543.0,0.93,dead,0.90
8467543.0,0.71,immunity,0.60
8467543.0,0.5700000000000001,merit,0.10
8467621.0,0.0,honor,0.10
8467621.0,0.99,dead,0.90
8467621.0,0.98,science,
8467621.0,0.52,saw,0.05
8467621.0,0.98,stare,0.90
8467621.0,0.53,agent,0.15
8467621.0,0.78,astonished,0.60
8467621.0,0.55,know,0.70
8467621.0,0.73,money,0.10
8467621.0,0.81,bright,0.00
8467621.0,0.73,mean,0.65
8467621.0,0.54,confess,0.15
8467621.0,0.84,leave,0.40
8467621.0,0.66,achievement,0.55
8467621.0,0.54,get,0.70
8467621.0,0.55,seen,0.85
8467621.0,0.88,cold,0.80
8467621.0,0.35000000000000003,piece,0.15
8467621.0,0.41000000000000003,merit,0.10
8467621.0,0.93,immunity,0.60
8467621.0,0.77,threaten,0.9
8467621.0,0.58,magic,0.70
8467621.0,0.55,fresh,0.00
8467621.0,0.3,steel,0.50
8467621.0,0.99,dead,0.90
8467621.0,0.81,illusions,0.85
8467621.0,0.63,run,0.10
8467621.0,0.34,pawns,0.05
8467621.0,0.36,look,0.60
8467621.0,0.73,jail,0.90
8467621.0,0.39,shootout,0.60
8469599.0,1.0,achievement,0.55
8469599.0,0.05,immunity,0.60
8469599.0,0.58,know,0.70
8469599.0,0.0,merit,0.10
8469599.0,0.34,seen,0.85
8469599.0,0.0,agent,0.15
8469599.0,0.93,science,
8469599.0,0.53,honor,0.10
8469599.0,0.45,run,0.10
8469599.0,0.23,astonished,0.60
8469599.0,0.0,pawns,0.05
8469599.0,0.53,get,0.70
8469599.0,0.9400000000000001,bright,0.00
8469599.0,0.11,piece,0.15
8469599.0,0.0,look,0.60
8469599.0,0.06,money,0.10
8469599.0,0.97,stare,0.90
8469599.0,0.53,confess,0.15
8469599.0,0.68,leave,0.40
8469599.0,0.47000000000000003,saw,0.05
8469599.0,1.0,illusions,0.85
8469599.0,0.93,cold,0.80
8469599.0,0.56,steel,0.50
8469599.0,0.38,magic,0.70
8469599.0,0.98,threaten,0.9
8469599.0,0.59,fresh,0.00
8469599.0,0.91,dead,0.90
8469599.0,0.39,jail,0.90
8469599.0,0.31,mean,0.65
8469599.0,0.89,dead,0.90
8469599.0,0.04,shootout,0.60
8469545.0,1.0,cold,0.80
8469545.0,0.2,astonished,0.60
8469545.0,0.0,shootout,0.60
8469545.0,0.02,money,0.10
8469545.0,0.7000000000000001,seen,0.85
8469545.0,0.23,run,0.10
8469545.0,0.22,agent,0.15
8469545.0,0.58,confess,0.15
8469545.0,1.0,science,
8469545.0,0.99,immunity,0.60
8469545.0,0.64,dead,0.90
8469545.0,0.11,fresh,0.00
8469545.0,0.86,stare,0.90
8469545.0,1.0,magic,0.70
8469545.0,0.68,threaten,0.9
8469545.0,1.0,mean,0.65
8469545.0,0.88,know,0.70
8469545.0,1.0,saw,0.05
8469545.0,0.88,look,0.60
8469545.0,0.9400000000000001,dead,0.90
8469545.0,0.9400000000000001,get,0.70
8469545.0,0.15,piece,0.15
8469545.0,0.25,honor,0.10
8469545.0,0.23,merit,0.10
8469545.0,0.96,achievement,0.55
8469545.0,0.92,steel,0.50
8469545.0,0.9400000000000001,jail,0.90
8469545.0,0.23,pawns,0.05
8469545.0,0.89,bright,0.00
8469545.0,0.7000000000000001,leave,0.40
8469545.0,1.0,illusions,0.85
8469830.0,0.92,cold,0.80
8469830.0,0.9,steel,0.50
8469830.0,0.8200000000000001,stare,0.90
8469830.0,0.22,honor,0.10
8469830.0,0.11,pawns,0.05
8469830.0,0.8300000000000001,bright,0.00
8469830.0,1.0,science,
8469830.0,0.22,merit,0.10
8469830.0,0.49,illusions,0.85
8469830.0,0.84,magic,0.70
8469830.0,0.8,jail,0.90
8469830.0,0.28,agent,0.15
8469830.0,0.87,money,0.10
8469830.0,0.48,mean,0.65
8469830.0,0.17,seen,0.85
8469830.0,0.41000000000000003,shootout,0.60
8469830.0,1.0,threaten,0.9
8469830.0,0.2,look,0.60
8469830.0,0.5700000000000001,know,0.70
8469830.0,0.51,leave,0.40
8469830.0,0.1,piece,0.15
8469830.0,0.76,fresh,0.00
8469830.0,0.87,immunity,0.60
8469830.0,0.62,get,0.70
8469830.0,0.92,dead,0.90
8469830.0,0.11,run,0.10
8469830.0,0.8200000000000001,achievement,0.55
8469830.0,0.59,astonished,0.60
8469830.0,0.56,saw,0.05
8469830.0,0.91,dead,0.90
8469830.0,0.5700000000000001,confess,0.15
8469832.0,0.6900000000000001,leave,0.40
8469832.0,0.58,money,0.10
8469832.0,0.88,science,
8469832.0,0.67,honor,0.10
8469832.0,0.13,merit,0.10
8469832.0,0.71,steel,0.50
8469832.0,0.76,illusions,0.85
8469832.0,0.0,jail,0.90
8469832.0,0.6900000000000001,immunity,0.60
8469832.0,0.0,magic,0.70
8469832.0,0.9500000000000001,dead,0.90
8469832.0,1.0,stare,0.90
8469832.0,0.93,bright,0.00
8469832.0,0.04,fresh,0.00
8469832.0,0.56,mean,0.65
8469832.0,1.0,cold,0.80
8469832.0,0.13,seen,0.85
8469832.0,0.18,saw,0.05
8469832.0,0.54,run,0.10
8469832.0,0.62,astonished,0.60
8469832.0,0.0,piece,0.15
8469832.0,0.12,know,0.70
8469832.0,0.81,agent,0.15
8469832.0,0.85,threaten,0.9
8469832.0,1.0,dead,0.90
8469832.0,0.0,shootout,0.60
8469832.0,0.0,confess,0.15
8469832.0,0.14,pawns,0.05
8469832.0,1.0,get,0.70
8469832.0,1.0,look,0.60
8469832.0,1.0,achievement,0.55
8469851.0,0.79,stare,0.90
8469851.0,0.78,steel,0.50
8469851.0,0.5,jail,0.90
8469851.0,0.24,pawns,0.05
8469851.0,0.75,know,0.70
8469851.0,0.59,honor,0.10
8469851.0,0.06,piece,0.15
8469851.0,0.66,leave,0.40
8469851.0,0.6900000000000001,merit,0.10
8469851.0,0.04,money,0.10
8469851.0,0.75,mean,0.65
8469851.0,0.07,run,0.10
8469851.0,0.99,illusions,0.85
8469851.0,0.89,cold,0.80
8469851.0,0.78,threaten,0.9
8469851.0,0.75,dead,0.90
8469851.0,0.71,magic,0.70
8469851.0,0.99,dead,0.90
8469851.0,0.98,astonished,0.60
8469851.0,0.21,saw,0.05
8469851.0,0.99,confess,0.15
8469851.0,0.24,look,0.60
8469851.0,0.85,fresh,0.00
8469851.0,0.86,science,
8469851.0,0.27,bright,0.00
8469851.0,0.37,agent,0.15
8469851.0,0.6900000000000001,shootout,0.60
8469851.0,0.67,immunity,0.60
8469851.0,0.64,achievement,0.55
8469851.0,0.03,seen,0.85
8469851.0,0.24,get,0.70
8469838.0,0.96,science,
8469838.0,0.96,dead,0.90
8469838.0,0.92,threaten,0.9
8469838.0,0.39,honor,0.10
8469838.0,0.91,leave,0.40
8469838.0,0.7000000000000001,mean,0.65
8469838.0,0.86,dead,0.90
8469838.0,0.77,fresh,0.00
8469838.0,0.25,seen,0.85
8469838.0,0.25,money,0.10
8469838.0,0.19,merit,0.10
8469838.0,0.6900000000000001,get,0.70
8469838.0,0.72,astonished,0.60
8469838.0,0.66,confess,0.15
8469838.0,0.88,jail,0.90
8469838.0,0.32,know,0.70
8469838.0,0.4,immunity,0.60
8469838.0,0.63,look,0.60
8469838.0,0.75,magic,0.70
8469838.0,0.56,saw,0.05
8469838.0,0.6,agent,0.15
8469838.0,0.46,shootout,0.60
8469838.0,0.98,stare,0.90
8469838.0,0.62,pawns,0.05
8469838.0,0.26,piece,0.15
8469838.0,0.34,illusions,0.85
8469838.0,0.96,cold,0.80
8469838.0,0.91,bright,0.00
8469838.0,0.66,achievement,0.55
8469838.0,0.2,run,0.10
8469838.0,0.9500000000000001,steel,0.50
8469829.0,0.67,jail,0.90
